Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:314-Scr-Lc-5_t11,Pacnes_C1,N714S514,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:315-Scr-crNo-5_t11,Pacnes_C1,N714S512,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:170-Stp-Rc24-4_t07,Pacnes_C1,S516N716,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:166-Stp-Rc23-4_t07,Pacnes_C1,S515N716,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:170-Stp-Rc24-3_t07,Pacnes_C1,S516N715,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:166-Stp-Rc23-3_t07,Pacnes_C1,S515N715,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:170-Stp-Rc24-2_t07,Pacnes_C1,S516N714,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:166-Stp-Rc23-2_t07,Pacnes_C1,S515N714,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:161-Stp-No21-4_t07,Pacnes_C1,S516N724,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:168-Stp-Rc22-4_t07,Pacnes_C1,S515N724,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:161-Stp-No21-3_t07,Pacnes_C1,S516N723,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:168-Stp-Rc22-3_t07,Pacnes_C1,S515N723,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:161-Stp-No21-2_t07,Pacnes_C1,S516N722,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:170-Stp-Rc24-1_t07,Pacnes_C1,S516N713,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:168-Stp-Rc22-2_t07,Pacnes_C1,S515N722,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:161-Stp-No21-1_t07,Pacnes_C1,S516N721,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:168-Stp-Rc22-1_t07,Pacnes_C1,S515N721,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:172-Stp-Rc19-4_t07,Pacnes_C1,S516N720,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:160-Stp-No20-4_t07,Pacnes_C1,S515N720,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:172-Stp-Rc19-3_t07,Pacnes_C1,S516N719,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:160-Stp-No20-3_t07,Pacnes_C1,S515N719,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:172-Stp-Rc19-2_t07,Pacnes_C1,S516N718,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:160-Stp-No20-2_t07,Pacnes_C1,S515N718,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:172-Stp-Rc19-1_t07,Pacnes_C1,S516N717,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:166-Stp-Rc23-1_t07,Pacnes_C1,S515N713,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:181-Scr-Rc-4_t07,Pacnes_C1,S507N724,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:148-Stp-Lc16-4_t07,Pacnes_C1,S506N724,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:181-Scr-Rc-3_t07,Pacnes_C1,S507N723,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:148-Stp-Lc16-3_t07,Pacnes_C1,S506N723,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:183-Scr-crFo-2_t07,Pacnes_C1,S507N722,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:140-Stp-Lc14-2_t07,Pacnes_C1,S506N722,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:183-Scr-crFo-1_t07,Pacnes_C1,S507N721,5,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:140-Stp-Lc14-1_t07,Pacnes_C1,S506N721,5,
