,subj-1_scrape-379_col-1,subj-1_scrape-379_col-2,subj-1_scrape-379_col-3,subj-1_scrape-380_col-1,subj-1_scrape-380_col-2,subj-1_scrape-380_col-3,subj-1_scrape-380_col-4,subj-1_scrape-380_col-5,subj-1_scrape-380_col-6,subj-1_scrape-297_col-1,subj-1_scrape-297_col-2,subj-1_scrape-298_col-1,subj-1_scrape-298_col-2,subj-1_scrape-298_col-3,subj-1_scrape-299_col-1,subj-1_scrape-288_col-1,subj-1_scrape-288_col-2,subj-1_scrape-288_col-3,subj-1_scrape-287_col-1,subj-1_scrape-287_col-2,subj-1_scrape-291_col-3,subj-1_scrape-287_col-3,subj-1_scrape-67_col-1,subj-1_scrape-67_col-2,subj-1_scrape-68_col-1,subj-1_scrape-66_col-1,subj-1_scrape-66_col-2,subj-1_scrape-66_col-3,subj-1_scrape-67_col-3,subj-1_scrape-416_col-1,subj-1_scrape-416_col-2,subj-1_scrape-416_col-3,subj-1_scrape-416_col-4,subj-1_scrape-417_col-1,subj-1_scrape-417_col-2,subj-1_scrape-417_col-3,subj-1_scrape-417_col-4,subj-1_scrape-418_col-2,subj-1_scrape-415_col-3,subj-1_scrape-418_col-3,subj-1_scrape-418_col-4,subj-1_scrape-442_col-1,subj-1_scrape-442_col-3,subj-1_scrape-442_col-6,subj-1_scrape-444_col-1,subj-1_scrape-444_col-2,subj-1_scrape-444_col-3,subj-1_scrape-444_col-4,subj-1_scrape-444_col-5,subj-1_scrape-443_col-1,subj-1_scrape-443_col-2,subj-1_scrape-443_col-3,subj-1_scrape-443_col-4,subj-1_scrape-443_col-5,subj-1_scrape-443_col-6,subj-1_scrape-444_col-7,subj-1_scrape-444_col-8,subj-1_scrape-444_col-9,subj-1_scrape-444_col-13,subj-1_scrape-444_col-14,subj-1_scrape-443_col-7,subj-1_scrape-443_col-8,subj-1_scrape-443_col-9,
subj-1_scrape-444_col-3,16,10,14,13,3,3,6,13,12,6,6,3,3,6,12,14,11,11,7,7,6,10,13,7,14,13,3,12,13,11,11,12,10,13,12,13,11,10,13,10,10,16,5,9,15,13,0,12,13,12,15,13,9,18,18,14,13,13,13,13,11,13,14,
subj-1_scrape-444_col-4,14,8,12,11,9,9,8,11,12,8,8,9,9,8,10,12,11,11,5,5,8,8,11,9,12,11,9,10,11,9,9,2,8,13,12,13,9,12,11,12,12,14,11,11,13,13,12,0,11,14,13,15,7,16,18,12,13,13,13,13,13,11,12,
subj-1_scrape-444_col-5,11,9,13,12,10,10,9,12,13,9,9,10,10,9,9,13,12,12,6,6,9,9,12,10,13,2,10,9,12,8,8,11,7,14,13,14,10,13,8,13,13,15,12,12,14,14,13,11,0,15,10,16,8,13,19,1,14,14,14,14,14,12,13,
subj-1_scrape-443_col-1,18,12,16,15,9,9,8,15,14,8,8,9,9,8,14,16,13,13,9,9,8,12,15,5,16,15,9,14,15,13,13,14,12,15,14,15,13,12,15,12,12,18,11,11,17,15,12,14,15,0,17,11,11,20,20,16,15,15,15,15,9,15,16,
subj-1_scrape-443_col-2,5,11,15,14,12,12,11,14,15,11,11,12,12,11,11,15,14,14,8,8,10,11,14,12,14,10,12,11,14,10,10,13,9,16,15,16,12,15,2,15,15,17,14,14,16,16,15,13,10,17,0,18,10,7,21,11,16,16,16,16,16,14,15,
subj-1_scrape-443_col-3,19,13,17,16,10,10,9,16,15,9,9,10,10,9,15,17,14,14,10,10,9,13,16,6,17,16,10,15,16,14,14,15,13,16,15,16,14,13,16,13,13,19,12,12,18,16,13,15,16,11,18,0,12,21,21,17,16,16,16,16,2,16,17,
subj-1_scrape-443_col-4,11,5,9,8,6,6,5,8,9,5,5,6,6,5,7,9,8,8,2,2,5,5,8,6,9,8,6,7,8,6,6,7,5,10,9,10,6,9,8,9,9,11,8,8,10,10,9,7,8,11,10,12,0,13,15,9,10,10,10,10,10,8,9,
subj-1_scrape-443_col-5,2,14,18,17,15,15,14,17,18,14,14,15,15,14,14,18,17,17,11,11,14,14,17,15,17,13,15,14,17,13,13,16,12,19,18,19,15,18,5,18,18,20,17,17,19,19,18,16,13,20,7,21,13,0,24,14,19,19,19,19,19,17,18,
subj-1_scrape-443_col-6,22,16,20,19,15,15,14,19,14,14,14,15,15,14,18,20,13,13,13,13,14,16,19,15,20,19,15,18,19,17,17,18,16,15,14,15,17,18,19,18,18,22,17,17,21,15,18,18,19,20,21,21,15,24,0,20,5,15,15,5,19,19,20,
subj-1_scrape-444_col-7,12,10,14,13,11,11,10,13,14,10,10,11,11,10,10,14,13,13,7,7,10,10,13,11,14,3,11,10,13,9,9,12,8,15,14,15,11,14,9,14,14,16,13,13,15,15,14,12,1,16,11,17,9,14,20,0,15,15,15,15,15,13,14,
subj-1_scrape-444_col-8,17,11,15,14,10,10,9,14,9,9,9,10,10,9,13,15,8,8,8,8,8,11,14,10,15,14,10,13,14,12,12,13,11,10,9,10,12,13,14,13,13,17,12,12,16,10,13,13,14,15,16,16,10,19,5,15,0,10,10,0,14,14,15,
subj-1_scrape-444_col-9,17,11,15,14,10,10,9,14,3,9,9,10,10,9,13,15,2,2,8,8,9,11,14,10,15,14,10,13,14,12,12,13,11,4,9,10,12,13,14,13,13,17,12,12,16,0,13,13,14,15,16,16,10,19,15,15,10,0,0,10,14,14,15,
subj-1_scrape-444_col-13,17,11,15,14,10,10,9,14,3,9,9,10,10,9,13,15,2,2,8,8,9,11,14,10,15,14,10,13,14,12,12,13,11,4,9,10,12,13,14,13,13,17,12,12,16,0,13,13,14,15,16,16,10,19,15,15,10,0,0,10,14,14,15,
subj-1_scrape-444_col-14,17,11,15,14,10,10,9,14,9,9,9,10,10,9,13,15,8,8,8,8,8,11,14,10,15,14,10,13,14,12,12,13,11,10,9,10,12,13,14,13,13,17,12,12,16,10,13,13,14,15,16,16,10,19,5,15,0,10,10,0,14,14,15,
subj-1_scrape-443_col-7,17,11,15,14,8,8,7,14,13,7,7,8,8,7,13,15,12,12,8,8,7,11,14,4,15,14,8,13,14,12,12,13,11,14,13,14,12,11,14,11,11,17,10,10,16,14,11,13,14,9,16,2,10,19,19,15,14,14,14,14,0,14,15,
subj-1_scrape-443_col-8,15,9,13,4,10,10,9,12,13,9,9,10,10,9,11,5,12,12,6,6,9,9,4,10,5,12,10,11,12,10,10,11,9,14,13,14,10,13,12,13,13,15,12,12,6,14,13,11,12,15,14,16,8,17,19,13,14,14,14,14,14,0,13,
subj-1_scrape-443_col-9,16,6,10,13,11,11,10,1,14,10,10,11,11,10,12,14,13,13,7,7,10,10,13,11,14,13,11,12,9,11,11,12,10,15,14,15,11,14,13,14,14,4,13,13,15,15,14,12,13,16,15,17,9,18,20,14,15,15,15,15,15,13,0,
