Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:368-Scr-crNo-3_t11,Pacnes_C1,N719S515,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:381-Scr-Fo-3_t11,Pacnes_C1,N719S514,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:380-Scr-tlBa-1_t11,Pacnes_C1,N719S511,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:330-Scr-Fo-2_t11,Pacnes_C1,N719S509,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:381-Scr-Fo-2_t11,Pacnes_C1,N718S514,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:382-Scr-Rc-6_t11,Pacnes_C1,N718S512,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:340-Scr-ccBa-6_t11,Pacnes_C1,N718S511,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:350-Scr-Rc-6_t11,Pacnes_C1,N718S510,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:330-Scr-Fo-1_t11,Pacnes_C1,N718S509,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:342-Scr-Rc-3_t11,Pacnes_C1,N717S516,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:368-Scr-crNo-1_t11,Pacnes_C1,N717S515,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:381-Scr-Fo-1_t11,Pacnes_C1,N717S514,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,L:364-Scr-tlBa-5_t11,Pacnes_C1,N717S509,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:342-Scr-Rc-2_t11,Pacnes_C1,N716S516,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:352-Scr-crNo-4_t11,Pacnes_C1,N716S515,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:371-Scr-trBa-4_t11,Pacnes_C1,N716S514,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:340-Scr-ccBa-1_t11,Pacnes_C1,N713S511,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:340-Scr-ccBa-4_t11,Pacnes_C1,N716S511,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:350-Scr-Rc-4_t11,Pacnes_C1,N716S510,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,L:364-Scr-tlBa-4_t11,Pacnes_C1,N716S509,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:352-Scr-crNo-3_t11,Pacnes_C1,N715S515,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:371-Scr-trBa-2_t11,Pacnes_C1,N715S514,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:350-Scr-Rc-1_t11,Pacnes_C1,N713S510,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:340-Scr-ccBa-3_t11,Pacnes_C1,N715S511,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:350-Scr-Rc-3_t11,Pacnes_C1,N715S510,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,L:364-Scr-tlBa-3_t11,Pacnes_C1,N715S509,L,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:341-Scr-Fo-2_t11,Pacnes_C1,N714S514,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:340-Scr-ccBa-2_t11,Pacnes_C1,N714S511,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:350-Scr-Rc-2_t11,Pacnes_C1,N714S510,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:323-Scr-Rc-8_t11,Pacnes_C1,N724S529,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:329-Scr-tlBa-3_t11,Pacnes_C1,N724S527,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:326-Scr-clNo-6_t11,Pacnes_C1,N724S526,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:318-Scr-trBa-2_t11,Pacnes_C1,N714S525,H,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:322-Scr-Fo-6_t11,Pacnes_C1,N724S525,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:323-Scr-Rc-7_t11,Pacnes_C1,N723S529,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:329-Scr-tlBa-2_t11,Pacnes_C1,N723S527,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:326-Scr-clNo-5_t11,Pacnes_C1,N723S526,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,J:322-Scr-Fo-5_t11,Pacnes_C1,N723S525,J,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:321-Scr-clLc-6_t11,Pacnes_C1,N722S529,H,
